order_id,GHG type,source,simulation time,1. Deal With Orders amount,2. Communicate With Warehouse amount,3. Pack Orders amount,4. Prepare to Send Orders amount,5. Deliver Orders amount,6. Close Orders amount,current stage
3b697a20d9e427646d92567910af6d57,ch4,electricity,2016-10-03 09:44:50,0.0,0.0,0.0,0.0,0.0,0.0,1. Deal With Orders
3b697a20d9e427646d92567910af6d57,ch4,electricity,2016-10-03 15:44:50,0.08553735411780822,0.0,0.0,0.0,0.0,0.0,1. Deal With Orders
3b697a20d9e427646d92567910af6d57,ch4,electricity,2016-10-03 21:44:50,0.17107470823561644,0.0,0.0,0.0,0.0,0.0,1. Deal With Orders
3b697a20d9e427646d92567910af6d57,ch4,electricity,2016-10-04 03:44:50,0.25661206235342465,0.0,0.0,0.0,0.0,0.0,1. Deal With Orders
3b697a20d9e427646d92567910af6d57,ch4,electricity,2016-10-04 09:44:50,0.34214941647123287,0.0,0.0,0.0,0.0,0.0,1. Deal With Orders
3b697a20d9e427646d92567910af6d57,ch4,electricity,2016-10-04 15:44:50,0.4276867705890411,0.0,0.0,0.0,0.0,0.0,1. Deal With Orders
3b697a20d9e427646d92567910af6d57,ch4,electricity,2016-10-04 21:44:50,0.5132241247068493,0.0,0.0,0.0,0.0,0.0,1. Deal With Orders
3b697a20d9e427646d92567910af6d57,ch4,electricity,2016-10-05 03:44:50,0.5987614788246576,0.0,0.0,0.0,0.0,0.0,1. Deal With Orders
3b697a20d9e427646d92567910af6d57,ch4,electricity,2016-10-05 09:44:50,0.6842988329424657,0.0,0.0,0.0,0.0,0.0,1. Deal With Orders
3b697a20d9e427646d92567910af6d57,ch4,electricity,2016-10-05 15:44:50,0.7698361870602739,0.0,0.0,0.0,0.0,0.0,1. Deal With Orders
3b697a20d9e427646d92567910af6d57,ch4,electricity,2016-10-05 21:44:50,0.8553735411780821,0.0,0.0,0.0,0.0,0.0,1. Deal With Orders
