order_id,GHG type,source,simulation time,1. Deal With Orders amount,2. Communicate With Warehouse amount,3. Pack Orders amount,4. Prepare to Send Orders amount,5. Deliver Orders amount,6. Close Orders amount,current stage
3b697a20d9e427646d92567910af6d57,ch4,electricity,2016-10-03 09:44:50,0.0,0.0,0.0,0.0,0.0,0.0,1. Deal With Orders
3b697a20d9e427646d92567910af6d57,ch4,electricity,2016-10-03 15:44:50,0.0855373541178082,0.0,0.0,0.0,0.0,0.0,1. Deal With Orders
3b697a20d9e427646d92567910af6d57,ch4,electricity,2016-10-03 21:44:50,0.1710747082356164,0.0,0.0,0.0,0.0,0.0,1. Deal With Orders
3b697a20d9e427646d92567910af6d57,ch4,electricity,2016-10-04 03:44:50,0.2566120623534246,0.0,0.0,0.0,0.0,0.0,1. Deal With Orders
3b697a20d9e427646d92567910af6d57,ch4,electricity,2016-10-04 09:44:50,0.3421494164712328,0.0,0.0,0.0,0.0,0.0,1. Deal With Orders
3b697a20d9e427646d92567910af6d57,ch4,electricity,2016-10-04 15:44:50,0.4276867705890411,0.0,0.0,0.0,0.0,0.0,1. Deal With Orders
3b697a20d9e427646d92567910af6d57,ch4,electricity,2016-10-04 21:44:50,0.5132241247068493,0.0,0.0,0.0,0.0,0.0,1. Deal With Orders
3b697a20d9e427646d92567910af6d57,ch4,electricity,2016-10-05 03:44:50,0.5987614788246576,0.0,0.0,0.0,0.0,0.0,1. Deal With Orders
3b697a20d9e427646d92567910af6d57,ch4,electricity,2016-10-05 09:44:50,0.6842988329424657,0.0,0.0,0.0,0.0,0.0,1. Deal With Orders
3b697a20d9e427646d92567910af6d57,ch4,electricity,2016-10-05 15:44:50,0.7698361870602739,0.0,0.0,0.0,0.0,0.0,1. Deal With Orders
3b697a20d9e427646d92567910af6d57,ch4,electricity,2016-10-05 21:44:50,0.8553735411780821,0.0,0.0,0.0,0.0,0.0,1. Deal With Orders
3b697a20d9e427646d92567910af6d57,ch4,electricity,2016-10-06 03:44:50,0.9409108952958902,0.0,0.0,0.0,0.0,0.0,1. Deal With Orders
3b697a20d9e427646d92567910af6d57,ch4,electricity,2016-10-06 09:44:50,1.0264482494136984,0.0,0.0,0.0,0.0,0.0,1. Deal With Orders
3b697a20d9e427646d92567910af6d57,ch4,electricity,2016-10-06 15:44:50,1.1119856035315066,0.0,0.0,0.0,0.0,0.0,1. Deal With Orders
3b697a20d9e427646d92567910af6d57,ch4,electricity,2016-10-06 21:44:50,1.1134270663508996,0.0011880188071917,0.0829078724912237,0.0,0.0,0.0,3. Pack Orders
3b697a20d9e427646d92567910af6d57,ch4,electricity,2016-10-07 03:44:50,1.1134270663508996,0.0011880188071917,0.1684452266090319,0.0,0.0,0.0,3. Pack Orders
3b697a20d9e427646d92567910af6d57,ch4,electricity,2016-10-07 09:44:50,1.1134270663508996,0.0011880188071917,0.2539825807268401,0.0,0.0,0.0,3. Pack Orders
3b697a20d9e427646d92567910af6d57,ch4,electricity,2016-10-07 15:44:50,1.1134270663508996,0.0011880188071917,0.3395199348446484,0.0,0.0,0.0,3. Pack Orders
3b697a20d9e427646d92567910af6d57,ch4,electricity,2016-10-07 21:44:50,1.1134270663508996,0.0011880188071917,0.4250572889624566,0.0,0.0,0.0,3. Pack Orders
3b697a20d9e427646d92567910af6d57,ch4,electricity,2016-10-08 03:44:50,1.1134270663508996,0.0011880188071917,0.5105946430802648,0.0,0.0,0.0,3. Pack Orders
3b697a20d9e427646d92567910af6d57,ch4,electricity,2016-10-08 09:44:50,1.1134270663508996,0.0011880188071917,0.596131997198073,0.0,0.0,0.0,3. Pack Orders
3b697a20d9e427646d92567910af6d57,ch4,electricity,2016-10-08 15:44:50,1.1134270663508996,0.0011880188071917,0.6816693513158811,0.0,0.0,0.0,3. Pack Orders
3b697a20d9e427646d92567910af6d57,ch4,electricity,2016-10-08 21:44:50,1.1134270663508996,0.0011880188071917,0.7672067054336893,0.0,0.0,0.0,3. Pack Orders
3b697a20d9e427646d92567910af6d57,ch4,electricity,2016-10-09 03:44:50,1.1134270663508996,0.0011880188071917,0.8162560419199475,0.0364880176315502,0.0,0.0,4. Prepare to Send Orders
3b697a20d9e427646d92567910af6d57,ch4,electricity,2016-10-09 09:44:50,1.1134270663508996,0.0011880188071917,0.8162560419199475,0.1220253717493584,0.0,0.0,4. Prepare to Send Orders
3b697a20d9e427646d92567910af6d57,ch4,electricity,2016-10-09 15:44:50,1.1134270663508996,0.0011880188071917,0.8162560419199475,0.2075627258671666,0.0,0.0,4. Prepare to Send Orders
3b697a20d9e427646d92567910af6d57,ch4,electricity,2016-10-09 21:44:50,1.1134270663508996,0.0011880188071917,0.8162560419199475,0.2931000799849749,0.0,0.0,4. Prepare to Send Orders
3b697a20d9e427646d92567910af6d57,ch4,electricity,2016-10-10 03:44:50,1.1134270663508996,0.0011880188071917,0.8162560419199475,0.3786374341027831,0.0,0.0,4. Prepare to Send Orders
3b697a20d9e427646d92567910af6d57,ch4,electricity,2016-10-10 09:44:50,1.1134270663508996,0.0011880188071917,0.8162560419199475,0.4641747882205913,0.0,0.0,4. Prepare to Send Orders
3b697a20d9e427646d92567910af6d57,ch4,electricity,2016-10-10 15:44:50,1.1134270663508996,0.0011880188071917,0.8162560419199475,0.5497121423383995,0.0,0.0,4. Prepare to Send Orders
3b697a20d9e427646d92567910af6d57,ch4,electricity,2016-10-10 21:44:50,1.1134270663508996,0.0011880188071917,0.8162560419199475,0.6352494964562077,0.0,0.0,4. Prepare to Send Orders
3b697a20d9e427646d92567910af6d57,ch4,electricity,2016-10-11 03:44:50,1.1134270663508996,0.0011880188071917,0.8162560419199475,0.7207868505740158,0.0,0.0,4. Prepare to Send Orders
3b697a20d9e427646d92567910af6d57,ch4,electricity,2016-10-11 09:44:50,1.1134270663508996,0.0011880188071917,0.8162560419199475,0.806324204691824,0.0,0.0,4. Prepare to Send Orders
3b697a20d9e427646d92567910af6d57,ch4,electricity,2016-10-11 15:44:50,1.1134270663508996,0.0011880188071917,0.8162560419199475,0.8918615588096321,0.0,0.0,4. Prepare to Send Orders
3b697a20d9e427646d92567910af6d57,ch4,electricity,2016-10-11 21:44:50,1.1134270663508996,0.0011880188071917,0.8162560419199475,0.9773989129274404,0.0,0.0,4. Prepare to Send Orders
3b697a20d9e427646d92567910af6d57,ch4,electricity,2016-10-12 03:44:50,1.1134270663508996,0.0011880188071917,0.8162560419199475,1.0629362670452485,0.0,0.0,4. Prepare to Send Orders
3b697a20d9e427646d92567910af6d57,ch4,electricity,2016-10-12 09:44:50,1.1134270663508996,0.0011880188071917,0.8162560419199475,1.1484736211630566,0.0,0.0,4. Prepare to Send Orders
3b697a20d9e427646d92567910af6d57,ch4,electricity,2016-10-12 15:44:50,1.1134270663508996,0.0011880188071917,0.8162560419199475,1.2340109752808648,0.0,0.0,4. Prepare to Send Orders
3b697a20d9e427646d92567910af6d57,ch4,electricity,2016-10-12 21:44:50,1.1134270663508996,0.0011880188071917,0.8162560419199475,1.319548329398673,0.0,0.0,4. Prepare to Send Orders
