Order ID,Stage,GHG Type,Source,Amount,Scope
be5bc2f0da14d8071e2d45451ad119d9,3. Pack Orders,co2,equipment,12.150155700640267,scope2
be5bc2f0da14d8071e2d45451ad119d9,3. Pack Orders,co2,electricity,42.430535173074965,scope2
be5bc2f0da14d8071e2d45451ad119d9,3. Pack Orders,ch4,equipment,0.8316960853799998,scope2
be5bc2f0da14d8071e2d45451ad119d9,3. Pack Orders,ch4,electricity,2.90443273925825,scope2
be5bc2f0da14d8071e2d45451ad119d9,3. Pack Orders,n2o,equipment,0.11089281138399999,scope2
be5bc2f0da14d8071e2d45451ad119d9,3. Pack Orders,n2o,electricity,0.38725769856776665,scope2
be5bc2f0da14d8071e2d45451ad119d9,4. Prepare to Send Orders,co2,equipment,9.33158450456738,scope2
be5bc2f0da14d8071e2d45451ad119d9,4. Prepare to Send Orders,co2,electricity,32.5875761839581,scope2
be5bc2f0da14d8071e2d45451ad119d9,4. Prepare to Send Orders,ch4,equipment,0.63876072818,scope2
be5bc2f0da14d8071e2d45451ad119d9,4. Prepare to Send Orders,ch4,electricity,2.230667673072885,scope2
be5bc2f0da14d8071e2d45451ad119d9,4. Prepare to Send Orders,n2o,equipment,0.08516809709066668,scope2
be5bc2f0da14d8071e2d45451ad119d9,4. Prepare to Send Orders,n2o,electricity,0.297422356409718,scope2
be5bc2f0da14d8071e2d45451ad119d9,5. Deliver Orders,co2,equipment,8.693140192086757,scope2
be5bc2f0da14d8071e2d45451ad119d9,5. Deliver Orders,co2,electricity,30.358013491577854,scope2
be5bc2f0da14d8071e2d45451ad119d9,5. Deliver Orders,ch4,equipment,0.59505827296,scope2
be5bc2f0da14d8071e2d45451ad119d9,5. Deliver Orders,ch4,electricity,2.078050817038338,scope2
be5bc2f0da14d8071e2d45451ad119d9,5. Deliver Orders,n2o,equipment,0.07934110306133334,scope2
be5bc2f0da14d8071e2d45451ad119d9,5. Deliver Orders,n2o,electricity,0.2770734422717784,scope2
be5bc2f0da14d8071e2d45451ad119d9,6. Close Orders,co2,equipment,2.473249010918667,scope2
be5bc2f0da14d8071e2d45451ad119d9,6. Close Orders,co2,electricity,8.637031634419907,scope2
be5bc2f0da14d8071e2d45451ad119d9,6. Close Orders,ch4,equipment,0.16929754409999997,scope2
be5bc2f0da14d8071e2d45451ad119d9,6. Close Orders,ch4,electricity,0.5912175593989897,scope2
be5bc2f0da14d8071e2d45451ad119d9,6. Close Orders,n2o,equipment,0.02257300588,scope2
be5bc2f0da14d8071e2d45451ad119d9,6. Close Orders,n2o,electricity,0.0788290079198653,scope2
be5bc2f0da14d8071e2d45451ad119d9,commuting,co2,total,176.1591708402202,scope3
be5bc2f0da14d8071e2d45451ad119d9,commuting,ch4,total,5.033119166863434,scope3
be5bc2f0da14d8071e2d45451ad119d9,commuting,n2o,total,3.019871500118061,scope3
be5bc2f0da14d8071e2d45451ad119d9,waste,co2,total,0.24412396589449784,scope3
be5bc2f0da14d8071e2d45451ad119d9,delivery,co2,total,0.10534767422007467,scope3
be5bc2f0da14d8071e2d45451ad119d9,delivery,ch4,total,0.9406042341078096,scope3
be5bc2f0da14d8071e2d45451ad119d9,delivery,n2o,total,2.94722660020447,scope3
65d1e226dfaeb8cdc42f665422522d14,1. Deal With Orders,co2,equipment,0.7924601606638223,scope2
65d1e226dfaeb8cdc42f665422522d14,1. Deal With Orders,co2,electricity,2.7674138133501507,scope2
65d1e226dfaeb8cdc42f665422522d14,1. Deal With Orders,ch4,equipment,0.054245067279999996,scope2
65d1e226dfaeb8cdc42f665422522d14,1. Deal With Orders,ch4,electricity,0.1894335588694201,scope2
65d1e226dfaeb8cdc42f665422522d14,1. Deal With Orders,n2o,equipment,0.007232675637333334,scope2
65d1e226dfaeb8cdc42f665422522d14,1. Deal With Orders,n2o,electricity,0.025257807849256013,scope2
65d1e226dfaeb8cdc42f665422522d14,2. Communicate With Warehouse,co2,equipment,0.016897511578666667,scope2
